lon,lat,val
119.074,24.482,0.288
119.095,24.482,0.417
119.115,24.481,0.439
119.136,24.481,0.387
119.156,24.481,0.295
119.177,24.481,0.292
119.279,24.479,0.188
119.3,24.479,0.357
119.32,24.479,0.187
119.341,24.478,0.136
119.361,24.478,0.222
119.525,24.476,0.491
119.545,24.476,0.439
119.566,24.475,0.27
119.586,24.475,0.258
119.607,24.475,0.323
119.75,24.473,0.112
119.77,24.473,0.112
119.791,24.473,0.112
124.715,24.428,0.33
124.735,24.428,0.165
124.755,24.428,0.395
124.775,24.428,0.37
124.796,24.428,0.285
124.816,24.428,0.159
124.836,24.428,0.372
118.95,24.505,0.519
118.97,24.505,0.296
118.991,24.504,0.373
119.032,24.504,0.49
119.052,24.503,0.491
119.073,24.503,0.239
119.114,24.503,0.31
119.134,24.502,0.342
119.155,24.502,0.331
119.175,24.502,0.259
119.257,24.501,0.136
119.278,24.5,0.288
119.298,24.5,0.409
119.319,24.5,0.136
119.339,24.499,0.136
119.359,24.499,0.188
119.523,24.497,0.273
119.544,24.497,0.361
119.564,24.497,0.318
119.585,24.496,0.36
119.605,24.496,0.365
119.748,24.494,0.13
119.769,24.494,0.208
119.789,24.494,0.13
123.585,24.456,0.401
124.714,24.449,0.087
124.735,24.449,0.041
124.755,24.449,0.053
124.775,24.449,0.162
124.795,24.449,0.395
124.815,24.449,0.452
118.907,24.526,0.208
118.927,24.526,0.335
118.948,24.526,0.464
118.968,24.526,0.49
118.989,24.525,0.249
119.009,24.525,0.48
119.03,24.525,0.569
119.091,24.524,0.086
119.112,24.524,0.464
119.132,24.523,0.491
119.153,24.523,0.491
119.173,24.523,0.359
119.255,24.522,0.332
119.276,24.521,0.341
119.358,24.52,0.156
119.522,24.518,0.082
119.542,24.518,0.239
119.563,24.518,0.519
119.583,24.517,0.306
119.603,24.517,0.252
119.747,24.515,0.146
119.767,24.515,0.25
119.788,24.515,0.13
123.564,24.477,0.041
123.584,24.477,0.291
123.605,24.477,0.035
123.625,24.477,0.131
123.645,24.477,0.316
124.714,24.47,0.197
124.734,24.47,0.272
124.754,24.47,0.401
124.774,24.47,0.3
124.794,24.47,0.435
124.814,24.47,0.416
125.036,24.469,0.139
118.884,24.548,0.187
118.905,24.548,0.187
118.925,24.547,0.208
118.946,24.547,0.209
118.966,24.547,0.18
118.987,24.546,0.104
119.007,24.546,0.144
119.028,24.546,0.325
119.049,24.546,0.377
119.069,24.545,0.223
119.11,24.545,0.189
119.131,24.544,0.172
119.151,24.544,0.359
119.172,24.544,0.288
119.192,24.544,0.327
119.213,24.543,0.17
119.233,24.543,0.461
119.254,24.543,0.216
119.356,24.541,0.181
119.377,24.541,0.31
119.397,24.541,0.338
119.417,24.541,0.367
119.438,24.54,0.368
119.458,24.54,0.367
119.479,24.54,0.367
119.499,24.539,0.338
119.52,24.539,0.188
119.54,24.539,0.34
119.745,24.536,0.244
119.765,24.536,0.3
119.786,24.536,0.374
119.806,24.535,0.249
123.604,24.498,0.053
123.624,24.498,0.158
123.644,24.498,0.19
124.693,24.491,0.183
124.713,24.491,0.415
124.753,24.491,0.401
124.773,24.491,0.245
124.794,24.491,0.382
124.814,24.491,0.313
124.955,24.49,0.322
124.975,24.49,0.226
124.995,24.49,0.205
118.882,24.569,0.082
118.903,24.569,0.104
118.924,24.568,0.156
118.944,24.568,0.08
119.006,24.567,0.417
119.026,24.567,0.398
119.047,24.567,0.289
119.067,24.566,0.205
119.088,24.566,0.26
119.108,24.566,0.417
119.129,24.565,0.367
119.211,24.564,0.08
119.231,24.564,0.188
119.252,24.564,0.224
119.272,24.563,0.108
119.354,24.562,0.125
119.375,24.562,0.388
119.395,24.562,0.368
119.416,24.562,0.368
119.436,24.561,0.398
119.457,24.561,0.398
119.477,24.561,0.35
119.498,24.56,0.35
119.518,24.56,0.324
119.539,24.56,0.381
119.702,24.558,0.159
119.723,24.558,0.159
119.743,24.557,0.191
119.764,24.557,0.499
119.784,24.557,0.072
119.805,24.557,0.27
123.562,24.519,0.035
123.623,24.519,0.036
123.643,24.519,0.158
123.663,24.519,0.467
123.684,24.519,0.18
123.704,24.518,0.168
123.926,24.517,0.055
123.946,24.517,0.041
123.966,24.517,0.055
123.986,24.517,0.083
124.672,24.513,0.233
124.692,24.512,0.245
124.712,24.512,0.408
124.733,24.512,0.251
124.753,24.512,0.382
124.773,24.512,0.251
124.793,24.512,0.207
124.813,24.512,0.301
124.954,24.511,0.283
124.974,24.511,0.338
131.428,24.511,0.203
118.881,24.59,0.439
118.901,24.59,0.412
118.983,24.589,0.417
119.004,24.588,0.417
119.024,24.588,0.288
119.045,24.588,0.092
119.065,24.587,0.216
119.086,24.587,0.259
119.106,24.587,0.31
119.127,24.587,0.338
119.209,24.585,0.13
119.23,24.585,0.36
119.25,24.585,0.33
119.271,24.585,0.239
119.291,24.584,0.26
119.312,24.584,0.389
119.332,24.584,0.44
119.353,24.583,0.364
119.373,24.583,0.312
119.394,24.583,0.288
119.414,24.583,0.368
119.435,24.582,0.318
119.455,24.582,0.318
119.476,24.582,0.27
119.496,24.582,0.35
119.516,24.581,0.368
119.537,24.581,0.343
119.66,24.579,0.252
119.68,24.579,0.327
119.701,24.579,0.258
119.721,24.579,0.181
119.742,24.578,0.239
119.762,24.578,0.191
119.783,24.578,0.159
119.803,24.578,0.144
123.562,24.54,0.053
123.663,24.54,0.212
123.683,24.54,0.436
123.703,24.539,0.257
123.723,24.539,0.105
123.925,24.538,0.09
123.945,24.538,0.11
123.965,24.538,0.11
123.986,24.538,0.191
124.651,24.534,0.384
124.671,24.534,0.379
124.712,24.533,0.415
124.732,24.533,0.415
124.752,24.533,0.197
124.772,24.533,0.435
124.812,24.533,0.449
131.389,24.532,0.53
131.409,24.532,0.245
131.429,24.532,0.322
118.879,24.611,0.187
118.899,24.611,0.31
118.982,24.61,0.156
119.002,24.609,0.18
119.023,24.609,0.112
119.043,24.609,0.398
119.064,24.608,0.398
119.084,24.608,0.417
119.105,24.608,0.417
119.125,24.608,0.338
119.146,24.607,0.361
119.166,24.607,0.387
119.207,24.606,0.232
119.248,24.606,0.259
119.269,24.606,0.288
119.289,24.605,0.382
119.31,24.605,0.382
119.33,24.605,0.382
119.351,24.605,0.382
119.371,24.604,0.303
119.392,24.604,0.259
119.412,24.604,0.288
119.433,24.603,0.288
119.453,24.603,0.318
119.474,24.603,0.27
119.494,24.603,0.398
119.658,24.6,0.252
119.679,24.6,0.324
119.699,24.6,0.287
119.72,24.6,0.216
119.74,24.599,0.224
119.76,24.599,0.144
119.781,24.599,0.144
119.801,24.599,0.159
123.52,24.562,0.036
123.54,24.562,0.036
123.561,24.561,0.036
123.642,24.561,0.106
123.662,24.561,0.08
123.682,24.561,0.129
123.702,24.56,0.347
123.722,24.56,0.055
123.823,24.56,0.139
123.843,24.56,0.126
123.965,24.559,0.191
123.985,24.559,0.191
124.469,24.556,0.27
124.63,24.555,0.278
124.651,24.555,0.35
124.671,24.555,0.285
124.691,24.554,0.285
124.711,24.554,0.285
124.731,24.554,0.406
124.751,24.554,0.487
124.771,24.554,0.53
124.792,24.554,0.487
124.812,24.554,0.469
124.832,24.554,0.292
124.852,24.554,0.358
124.872,24.553,0.071
124.892,24.553,0.036
131.087,24.551,0.516
131.107,24.551,0.331
131.127,24.552,0.071
131.147,24.552,0.115
131.168,24.552,0.357
131.409,24.553,0.517
131.43,24.553,0.517
118.877,24.632,0.125
118.898,24.632,0.125
118.98,24.631,0.086
119.0,24.63,0.104
119.021,24.63,0.129
119.041,24.63,0.052
119.062,24.63,0.398
119.082,24.629,0.398
119.103,24.629,0.398
119.123,24.629,0.31
119.144,24.628,0.382
119.164,24.628,0.303
119.185,24.628,0.082
119.206,24.628,0.259
119.226,24.627,0.318
119.247,24.627,0.288
119.267,24.627,0.259
119.288,24.626,0.338
119.308,24.626,0.382
119.329,24.626,0.37
119.349,24.626,0.27
119.37,24.625,0.13
119.39,24.625,0.284
119.411,24.625,0.31
119.431,24.625,0.361
119.452,24.624,0.338
119.472,24.624,0.224
119.493,24.624,0.318
119.656,24.622,0.252
119.677,24.621,0.323
119.697,24.621,0.323
119.718,24.621,0.252
119.738,24.621,0.181
119.759,24.62,0.181
119.779,24.62,0.181
119.8,24.62,0.232
119.82,24.619,0.284
119.841,24.619,0.492
119.861,24.619,0.444
119.882,24.619,0.086
123.499,24.583,0.036
123.519,24.583,0.053
123.54,24.583,0.053
123.641,24.582,0.106
123.661,24.582,0.158
123.701,24.581,0.401
123.843,24.581,0.138
123.964,24.58,0.165
124.004,24.579,0.407
124.024,24.579,0.09
124.045,24.579,0.11
124.468,24.577,0.142
124.61,24.576,0.291
124.771,24.575,0.132
124.791,24.575,0.08
124.811,24.575,0.055
124.831,24.575,0.264
124.851,24.575,0.055
124.892,24.574,0.071
131.067,24.572,0.417
131.088,24.572,0.361
131.108,24.573,0.327
131.128,24.573,0.143
131.148,24.573,0.312
131.168,24.573,0.312
131.41,24.574,0.106
118.875,24.653,0.086
118.916,24.653,0.239
118.937,24.652,0.208
118.978,24.652,0.125
118.998,24.651,0.216
119.163,24.649,0.359
119.183,24.649,0.112
119.204,24.649,0.191
119.224,24.648,0.191
119.245,24.648,0.104
119.265,24.648,0.104
119.286,24.648,0.181
119.306,24.647,0.209
119.327,24.647,0.303
119.347,24.647,0.191
119.368,24.646,0.104
119.388,24.646,0.368
119.409,24.646,0.389
119.429,24.646,0.362
119.45,24.645,0.31
119.47,24.645,0.181
119.491,24.645,0.288
119.655,24.643,0.418
119.675,24.642,0.44
119.696,24.642,0.37
119.716,24.642,0.252
119.737,24.642,0.181
119.757,24.641,0.181
119.778,24.641,0.239
119.798,24.641,0.259
119.819,24.641,0.259
119.839,24.64,0.181
119.86,24.64,0.164
119.88,24.64,0.21
123.498,24.604,0.036
123.518,24.604,0.053
123.539,24.604,0.138
123.559,24.604,0.053
123.842,24.602,0.158
123.963,24.601,0.246
123.983,24.601,0.272
124.003,24.601,0.208
124.024,24.6,0.055
124.044,24.6,0.055
124.468,24.598,0.476
124.589,24.597,0.447
124.79,24.596,0.09
124.81,24.596,0.083
124.831,24.596,0.115
124.851,24.596,0.358
124.871,24.596,0.071
124.891,24.595,0.142
131.088,24.593,0.531
131.108,24.594,0.453
131.128,24.594,0.369
131.149,24.594,0.413
131.169,24.594,0.345
131.189,24.594,0.244
131.209,24.594,0.312
131.229,24.594,0.217
131.249,24.594,0.205
131.29,24.594,0.161
131.31,24.594,0.161
131.35,24.595,0.192
131.37,24.595,0.244
131.39,24.595,0.113
131.411,24.595,0.115
131.451,24.595,0.401
118.935,24.673,0.159
118.956,24.673,0.108
119.161,24.67,0.209
119.181,24.67,0.156
119.202,24.67,0.181
119.223,24.669,0.27
119.243,24.669,0.239
119.264,24.669,0.181
119.284,24.669,0.181
119.305,24.668,0.232
119.325,24.668,0.232
119.346,24.668,0.232
119.366,24.668,0.389
119.387,24.667,0.389
119.407,24.667,0.389
119.428,24.667,0.288
119.448,24.666,0.239
119.469,24.666,0.288
119.489,24.666,0.288
119.674,24.663,0.382
119.694,24.663,0.37
119.715,24.663,0.216
119.817,24.662,0.233
119.837,24.661,0.258
119.858,24.661,0.327
119.878,24.661,0.259
123.841,24.623,0.08
123.962,24.622,0.213
123.982,24.622,0.163
124.003,24.622,0.168
124.023,24.621,0.09
124.043,24.621,0.055
124.467,24.619,0.487
124.487,24.619,0.508
124.507,24.619,0.315
124.527,24.618,0.177
124.548,24.618,0.177
124.568,24.618,0.177
124.588,24.618,0.226
131.089,24.614,0.366
131.109,24.615,0.434
131.129,24.615,0.415
131.149,24.615,0.415
131.169,24.615,0.207
131.189,24.615,0.385
131.21,24.615,0.345
131.23,24.615,0.47
131.25,24.615,0.081
131.27,24.615,0.47
131.29,24.615,0.146
131.31,24.615,0.142
131.331,24.616,0.142
131.351,24.616,0.447
131.371,24.616,0.421
119.159,24.691,0.181
119.18,24.691,0.156
119.2,24.691,0.086
119.221,24.691,0.057
119.241,24.69,0.227
119.262,24.69,0.209
119.282,24.69,0.232
119.303,24.689,0.181
119.323,24.689,0.104
119.344,24.689,0.232
119.446,24.688,0.288
119.467,24.687,0.288
119.487,24.687,0.224
119.672,24.685,0.336
119.692,24.684,0.37
119.713,24.684,0.362
119.815,24.683,0.233
119.836,24.682,0.259
119.856,24.682,0.224
119.877,24.682,0.258
119.897,24.682,0.37
123.82,24.644,0.205
123.84,24.644,0.243
123.961,24.643,0.163
123.982,24.643,0.205
124.002,24.643,0.163
124.022,24.642,0.168
124.042,24.642,0.055
124.466,24.64,0.249
124.486,24.64,0.205
124.507,24.64,0.371
124.527,24.639,0.361
124.547,24.639,0.407
124.587,24.639,0.226
131.15,24.636,0.403
131.17,24.636,0.331
131.19,24.636,0.371
131.21,24.636,0.323
131.23,24.636,0.23
131.271,24.636,0.219
131.291,24.636,0.394
131.311,24.637,0.421
131.331,24.637,0.465
131.351,24.637,0.531
119.157,24.713,0.159
119.178,24.712,0.13
119.198,24.712,0.104
119.219,24.712,0.057
119.24,24.711,0.439
119.26,24.711,0.318
119.281,24.711,0.232
119.301,24.711,0.129
119.322,24.71,0.052
119.445,24.709,0.44
119.465,24.708,0.44
119.486,24.708,0.368
119.691,24.705,0.362
119.711,24.705,0.362
119.814,24.704,0.288
119.834,24.704,0.259
119.855,24.703,0.191
119.875,24.703,0.224
120.121,24.7,0.239
120.141,24.7,0.118
123.839,24.665,0.243
123.859,24.665,0.262
123.88,24.664,0.175
123.9,24.664,0.122
123.92,24.664,0.122
